"product","binary file","download page","download link","download name","test flags","publish date","bin file size [B]","comment"
"HG300","HG300_FW_V01.01.00.30_1.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.30_1.bin","HG300_FW_V01.01.00.30_1.bin",3,"2016-08-30",641654,
"HG300","HG300_FW_V01.02.00.31.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.02.00.31.bin","HG300_FW_V01.02.00.31.bin",3,"2016-09-21",645502,
"HG300","HG300_FW_V01.02.00.33.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.02.00.33.bin","HG300_FW_V01.02.00.33.bin",3,"2016-09-26",660310,
"HG300","HG300_FW_V01.02.00.34.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.02.00.34.bin","HG300_FW_V01.02.00.34.bin",3,"2016-10-10",660522,
"HG300","HG300_FW_V01.02.00.40.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.02.00.40.bin","HG300_FW_V01.02.00.40.bin",3,"2016-10-13",660522,
"HG300","HG300_FW_V01.03.00.41.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.03.00.41.bin","HG300_FW_V01.03.00.41.bin",3,"2016-10-25",660878,
"HG300","HG300_FW_V01.03.00.42.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.03.00.42.bin","HG300_FW_V01.03.00.42.bin",3,"2016-10-26",660878,
"HG300","HG300_FW_V01.03.00.43.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.03.00.43.bin","HG300_FW_V01.03.00.43.bin",3,"2016-11-11",661914,
"HG300","HG300_FW_V01.03.00.43_3.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.03.00.43_3.bin","HG300_FW_V01.03.00.43_3.bin",3,"2016-11-11",661898,
"HG300","HG300_FW_V01.03.00.44.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.03.00.44.bin","HG300_FW_V01.03.00.44.bin",3,"2016-11-16",660878,
"HG300","HG300_FW_V01.03.00.45.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.03.00.45.bin","HG300_FW_V01.03.00.45.bin",3,"2016-11-17",662258,
"HG300","HG300_FW_V01.03.00.45_new.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.03.00.45_new.bin","HG300_FW_V01.03.00.45_new.bin",3,"2016-11-17",661914,
